2024-02-13 16:49:43 | cleaner | INFO | Splitting the .pcap file: device_202402102340.pcap
2024-02-13 16:49:43 | cleaner | INFO | Converting (sub) .pcap files to .csv files
2024-02-13 16:49:43 | cleaner | INFO | Removing (sub) .pcap files.
2024-02-13 16:49:43 | cleaner | INFO | Merging (sub) .csv files to a summary csv
2024-02-13 16:49:43 | cleaner | INFO | Removing (sub) .csv files
2024-02-13 16:49:43 | cleaner | INFO | Cleaner job done. (C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/device_202402102340.pcap)(0.03s),  total_errors= 0
2024-02-13 16:49:43 | cleaner | INFO | Elapsed Time = 0.05463433265686035s
2024-03-26 14:52:43 | cleaner | INFO | Start Data Cleaning
2024-03-26 14:52:43 | cleaner | INFO | Splitting the .pcap file: device_202402102330.pcap
2024-03-26 14:52:43 | cleaner | INFO | Converting (sub) .pcap files to .csv files
2024-03-26 14:52:43 | cleaner | INFO | Removing (sub) .pcap files.
2024-03-26 14:52:43 | cleaner | INFO | Merging (sub) .csv files to a summary csv
2024-03-26 14:52:43 | cleaner | INFO | Removing (sub) .csv files
2024-03-26 14:52:43 | cleaner | INFO | Cleaner job done. (C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/device_202402102330.pcap)(0.03s),  total_errors= 0
2024-03-26 14:52:43 | cleaner | INFO | Splitting the .pcap file: device_202402102340.pcap
2024-03-26 14:52:43 | cleaner | INFO | Converting (sub) .pcap files to .csv files
2024-03-26 14:52:43 | cleaner | INFO | Removing (sub) .pcap files.
2024-03-26 14:52:43 | cleaner | INFO | Merging (sub) .csv files to a summary csv
2024-03-26 14:52:43 | cleaner | INFO | Removing (sub) .csv files
2024-03-26 14:52:43 | cleaner | INFO | Cleaner job done. (C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/device_202402102340.pcap)(0.02s),  total_errors= 0
2024-03-26 14:52:43 | cleaner | INFO | Elapsed Time = 0.056685686111450195s
2024-03-26 17:19:22 | cleaner | INFO | Start Data Cleaning
2024-03-26 17:19:22 | cleaner | INFO | Splitting the .pcap file: device_202402102330.pcap
2024-03-26 17:19:22 | cleaner | INFO | Converting (sub) .pcap files to .csv files
2024-03-26 17:19:22 | cleaner | INFO | Removing (sub) .pcap files.
2024-03-26 17:19:22 | cleaner | INFO | Merging (sub) .csv files to a summary csv
2024-03-26 17:19:22 | cleaner | INFO | Removing (sub) .csv files
2024-03-26 17:19:22 | cleaner | INFO | Cleaner job done. (C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/device_202402102330.pcap)(0.03s),  total_errors= 0
2024-03-26 17:19:22 | cleaner | INFO | Splitting the .pcap file: device_202402102340.pcap
